H1	H2	H3	H4	H5	Sim1	Sim2	Sim3	Sim4	Sim5	WP	Li	LC	Rada	CGM
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	2	3	4	0.848	0.848	0.848	0.766	0.678	0.857	0.775	0.667	0.875	0.969
2	2	2	3	4	0.848	0.848	0.848	0.766	0.678	0.857	0.775	0.667	0.875	0.969
3	3	2	2	2	0.678	0.766	0.848	0.848	0.848	0.800	0.682	0.667	0.875	0.938
4	4	3	5	5	0.566	0.642	0.714	0.642	0.566	0.667	0.559	0.472	0.75	0.875
5	6	4	7	7	0.467	0.534	0.597	0.477	0.365	0.571	0.458	0.333	0.625	0.844
5	6	4	7	7	0.467	0.534	0.597	0.477	0.365	0.571	0.458	0.333	0.625	0.844
6	5	3	4	3	0.444	0.575	0.714	0.714	0.714	0.5	0.36	0.472	0.75	0.813
7	7	4	6	6	0.365	0.477	0.597	0.534	0.469	0.4	0.295	0.333	0.625	0.688
8	8	5	8	8	0.299	0.394	0.495	0.394	0.299	0.333	0.241	0.226	0.5	0.625
8	8	5	8	8	0.299	0.394	0.495	0.394	0.299	0.333	0.241	0.226	0.5	0.625
